"","X...Data","T.min....c.","T.media....c.","T.max....c.","Pioggia..mm.","Punto.rugiada....c.","Umidit......","Vento.media..km.h.","Ventomax..km.h.","Raffica..km.h.","Pressione.slm..mb.","Pressione.media..mb."
"43","13/03/2003",4.4,9.8,16.2,0,-0.6,48,6,22,0,1020,990
"44","14/03/2003",4,6.8,11,0,-3.8,47,10,17,0,1023,993
"45","16/03/2003",1.8,4.8,8.6,0,-4,53,19,29,0,1030,1000
"46","19/03/2003",-1.2,6.6,15.4,0,-4.2,46,6,15,0,1024,993
"47","20/03/2003",-1.4,7.8,17.4,0,-2.9,47,1,4,0,1021,991
"48","21/03/2003",2,8.4,16.4,0,1.9,64,1,5,0,1020,990
"49","22/03/2003",4.8,8.8,15.4,0,-2.1,46,3,13,0,1022,992
"50","23/03/2003",1.6,5.9,12.8,0,-8.3,35,10,22,0,1027,996
"51","24/03/2003",-0.1,8.9,18.8,0,-10.5,24,0,0,0,1029,998
"52","25/03/2003",-1.4,8.5,19,0,-0.7,52,1,4,0,1026,995
"53","26/03/2003",-0.2,9,18.2,0,0.3,54,1,4,0,1021,991
"54","27/03/2003",-0.2,9.1,19.4,0,0.1,53,2,9,0,1022,992
"55","28/03/2003",0.8,9.3,19.4,0,0,0,3,11,0,1019,989
"56","29/03/2003",0.8,10.4,19.8,0,0.2,49,2,8,0,1016,986
"57","01/04/2003",9.4,13.7,19.2,0,3.1,49,10,15,0,1019,990
"58","02/04/2003",1.4,8.1,16.6,9.9,4.4,77,4,15,0,1008,978
"59","03/04/2003",4.4,7.7,11,16,5.4,85,3,5,0,1002,973
"60","04/04/2003",6.4,7.6,10.8,0,0.1,59,17,29,0,1013,983
"61","05/04/2003",6.2,10.4,15.4,0,-3.2,38,12,29,0,1013,983
"62","06/04/2003",-1.6,7.7,17,10,0.3,59,4,9,0,1008,978
"63","07/04/2003",0.2,2.7,8,0.8,-7.4,47,8,11,0,1013,983
"64","08/04/2003",-5.4,2.5,10.6,0,-8.6,44,1,5,0,1022,991
"65","09/04/2003",-3.6,4.3,11.6,0,-3.7,56,1,4,0,1017,987
"66","10/04/2003",3,6.5,12.2,10.9,4.6,88,0,0,0,1007,977
"67","11/04/2003",3.2,9.8,16,0,3.3,64,6,9,0,1012,982
"68","12/04/2003",7.6,9.7,14.6,19.1,5.4,75,6,13,0,1015,986
"69","13/04/2003",1.8,8.8,17.4,0,2.7,65,4,11,0,1020,990
"70","15/04/2003",6.4,12.7,18.4,0,2.6,50,10,22,0,1020,990
"71","16/04/2003",9.2,14.1,20.6,0,3.1,47,12,31,0,1020,991
"72","17/04/2003",9.8,15,20.8,0,1.8,41,11,26,0,1020,990
"73","18/04/2003",7.8,14.9,19.8,0,0.7,38,10,13,0,1016,987
"74","19/04/2003",1.6,15.6,21.2,0,1.6,39,2,5,0,1012,983
"75","20/04/2003",7.2,11.3,16.8,0.5,4.6,63,4,13,0,1016,986
"76","21/04/2003",9,11.4,16.2,6.1,7.4,76,1,8,0,1014,984
"77","22/04/2003",3.6,12.8,19.8,0,3.4,53,3,11,0,1013,983
"78","23/04/2003",3.2,13.3,21.2,0,3.6,52,3,8,0,1012,982
"79","24/04/2003",4.8,13.7,20.2,3.1,5.8,59,9,28,0,1016,986
"80","25/04/2003",8.8,14.8,22.4,0,6.9,59,2,11,0,1020,990
"81","26/04/2003",5.8,14.3,21,0,7.3,63,1,4,0,1020,991
"82","27/04/2003",11,14.7,20.4,5.6,9.3,70,2,11,0,1016,987
"83","28/04/2003",8.4,17.4,23,0,7.4,52,7,11,0,1018,989
"84","29/04/2003",6,16.3,24.6,0,6.9,54,1,4,0,1020,991
"85","30/04/2003",8.6,16.2,24.8,0,7.8,57,3,11,0,1022,992
"86","01/05/2003",10,22.3,26.6,0,8.8,42,3,9,0,1021,992
"87","02/05/2003",10.8,18.2,26.4,0,7.8,51,1,9,0,1020,990
"88","03/05/2003",8.4,19.7,27.2,0,6.9,43,2,11,0,1018,989
"89","04/05/2003",10.8,22.7,28.6,0,8.5,40,5,11,0,1021,992
"90","05/05/2003",10.8,22.8,29.8,0,9.3,42,2,9,0,1018,989
"91","06/05/2003",11,23.8,30.4,0,10.9,44,3,8,0,1017,988
"92","07/05/2003",12.2,22.3,29.8,0,11.5,50,1,4,0,1020,991
"93","08/05/2003",8,19.2,30.4,0,8.2,49,0,0,0,1020,991
"94","09/05/2003",10.8,19.3,25,0,10.3,56,4,17,0,1017,988
"95","10/05/2003",12.8,18.1,22.4,0,12.3,69,3,13,0,1018,989
"96","11/05/2003",13.6,21.9,28,2,11.7,52,5,8,0,1017,988
"97","12/05/2003",9.6,21.3,28.6,0,8.7,44,5,11,0,1016,987
"98","13/05/2003",9.4,20.8,27,0,7.9,43,9,26,0,1013,984
"99","14/05/2003",8.6,18.6,23.8,0,6.3,45,10,18,0,1013,984
"100","15/05/2003",9.6,18.5,22.2,0,3.9,38,13,17,0,1016,987
"101","16/05/2003",5.4,16.6,22.6,0,1.9,37,5,11,0,1016,987
"102","17/05/2003",8.8,16.7,25,2,8.6,59,1,9,0,1016,987
"103","18/05/2003",10.6,18.6,24.6,0,9.4,55,6,21,0,1018,989
"104","19/05/2003",7.8,17,25.2,0,8.9,59,6,18,0,1020,991
"105","20/05/2003",10.8,16.9,23.4,2,11.1,69,3,13,0,1015,986
"106","21/05/2003",11,16.8,19.8,3.1,6,49,7,13,0,1018,988
"107","22/05/2003",18,20.8,23.6,0,-0.5,24,7,18,0,1020,991
"108","23/05/2003",5.2,20.1,25.4,0,2.8,32,13,21,0,1017,988
"109","24/05/2003",8.2,22.3,26.8,0,7.9,40,4,9,0,1011,983
"110","25/05/2003",10,22.2,27.4,0,9.5,44,5,11,0,1011,983
"111","26/05/2003",10.2,21.9,27,0,9.4,45,4,13,0,1014,986
"112","27/05/2003",14.6,23.3,28.2,0,12.8,52,6,9,0,1014,985
"113","28/05/2003",12.6,24.6,29.4,0,11.6,44,13,18,0,1012,984
"114","29/05/2003",14.2,22.6,30.2,0,11.9,51,6,17,0,1011,983
"115","30/05/2003",9,21.4,25.6,10,14.5,65,7,13,0,1012,984
"116","31/05/2003",12,23.2,29.6,0,13.3,54,2,5,0,1013,984
"117","01/06/2003",14,21.4,25.2,0,13.4,60,0,0,0,1013,984
"118","02/06/2003",14.8,22.8,30.2,0,13.3,55,7,18,0,1012,984
"119","03/06/2003",16.8,24.3,28.2,10,15.1,56,6,11,0,1014,986
"120","04/06/2003",14.4,25.2,30.2,0,13.5,48,5,13,0,1017,988
"121","05/06/2003",14.6,26.8,32,0,13.8,45,5,11,0,1019,991
"122","06/06/2003",16.4,25.2,31.6,0,14.7,52,4,13,0,1019,990
"123","07/06/2003",16.8,26.2,32.4,0,15.1,50,2,8,0,1017,989
"124","08/06/2003",18,27.2,34.4,39.1,14.5,46,13,26,0,1016,987
"125","09/06/2003",15.2,26.1,32.4,0.5,14.4,49,2,13,0,1017,989
"126","10/06/2003",15.8,27.2,33.2,0,11.6,38,1,5,0,1018,989
"127","11/06/2003",15.2,26.2,34.2,0,13.7,46,2,13,0,1018,989
"128","12/06/2003",17.8,30,36.4,0,14.2,38,3,9,0,1017,989
"129","14/06/2003",16.4,29.1,36,0,14.7,42,2,9,0,1016,988
"130","15/06/2003",18.4,27.4,35,0,17.2,54,3,11,0,1012,984
"131","16/06/2003",20,25.6,34,4.1,16.1,56,7,26,0,1009,981
"132","17/06/2003",16.8,23.4,34,7.9,17.1,68,5,22,0,1011,982
"133","18/06/2003",15.2,20.9,29.4,16,16.1,74,1,9,0,1013,985
"134","19/06/2003",16.2,25.1,30,0,11.2,42,11,18,0,1017,988
"135","20/06/2003",14.6,26.6,32.2,0,12.2,41,4,13,0,1015,986
"136","21/06/2003",15.8,26.7,32.2,0,14.3,47,2,11,0,1012,983
"137","22/06/2003",16.8,28.1,34.6,0,13.8,41,4,9,0,1013,985
"138","23/06/2003",15.8,26.2,34.4,0,14.6,49,8,21,0,1016,988
"139","24/06/2003",16.6,28.6,34.8,0,13.2,39,7,17,0,1018,990
"140","25/06/2003",16.8,28.6,34.4,0,12,36,4,13,0,1016,988
"141","26/06/2003",15.2,26.8,34.4,0,12.2,40,6,17,0,1013,985
"142","27/06/2003",19.4,29.8,35.6,0,17.5,48,3,8,0,1010,982
"143","28/06/2003",19.6,27.6,35.2,0,16.8,52,7,21,0,1010,982
"144","29/06/2003",18.8,28.5,32.6,0,16.6,49,5,8,0,1010,982
"145","30/06/2003",16.8,29.1,34.8,0,16.4,46,9,17,0,1010,982
"146","01/07/2003",20,30.4,35.6,0,16.4,43,14,21,0,1005,977
"147","02/07/2003",19.4,25.3,30.6,0.5,10.1,38,20,34,0,1007,979
"148","03/07/2003",15,25.8,31.2,0,10,37,20,35,0,1011,983
"149","04/07/2003",14.8,23.2,30.4,0,9.9,43,9,24,0,1012,983
"150","05/07/2003",14.4,23.6,31,0,10.1,42,2,5,0,1012,984
"151","06/07/2003",14.4,26.3,33.2,0,11.1,39,6,21,0,1014,986
"152","07/07/2003",25,28.3,34.2,0,9.2,30,5,18,0,1017,988
"153","08/07/2003",15,25.7,35.4,0,12.1,43,6,15,0,1016,987
"154","09/07/2003",14.4,28.1,33.6,0,10.8,34,10,21,0,1014,986
"155","10/07/2003",16.6,28.7,34.6,0,12.4,37,6,18,0,1014,986
"156","11/07/2003",16.4,28.4,33.4,0,14.7,43,5,9,0,1015,987
"157","12/07/2003",16.4,29.9,36.2,0,14.5,39,3,9,0,1015,988
"158","13/07/2003",17.8,29.2,35,0,14.6,41,7,17,0,1013,985
"159","14/07/2003",18.2,27.7,34.2,0,14.4,44,5,13,0,1012,984
"160","15/07/2003",18.6,29.6,35.6,0,16.1,44,8,13,0,1012,984
"161","16/07/2003",17.4,29.7,36.8,0,16.4,45,6,11,0,1013,985
"162","17/07/2003",22.6,31.1,35.8,0,15.4,39,15,22,0,1015,987
"163","18/07/2003",15.6,27.4,33.6,0,14.6,46,7,17,0,1017,989
"164","19/07/2003",16.4,27.6,34.8,0,12.4,39,9,17,0,1017,989
"165","20/07/2003",17,30.3,35.4,0,11.8,32,5,13,0,1015,988
"166","21/07/2003",17.8,31.6,38.4,0,13.6,34,9,26,0,1017,989
"167","22/07/2003",17.8,31.4,39.8,0,14.2,35,9,22,0,1018,990
"168","23/07/2003",18,30.8,38.2,0,15.9,41,7,17,0,1014,987
"169","24/07/2003",20.6,28.5,37,4.1,17.8,52,5,13,0,1012,984
"170","25/07/2003",21,28.3,36.2,0,14.3,42,8,15,0,1012,984
"171","26/07/2003",16.8,28.1,34.6,0,15.8,47,5,11,0,1014,986
"172","27/07/2003",18,31.9,39.2,0,14.4,35,5,18,0,1014,986
"173","28/07/2003",18.6,28.9,38,0,11.8,35,9,21,0,1014,986
"174","29/07/2003",15.4,26.4,33.6,0,15.6,51,6,15,0,1015,986
"175","30/07/2003",18,28.2,33.4,0,12.6,38,9,15,0,1014,986
"176","31/07/2003",15.6,22.6,28.6,1,11.6,50,5,22,0,1010,982
"177","01/08/2003",16.4,24.7,30.6,0,15.2,56,10,18,0,1011,982
"178","02/08/2003",18.6,28.3,32.8,0,14.7,43,7,13,0,1015,987
"179","03/08/2003",17.4,29.8,37,0,12.4,34,7,15,0,1018,990
"180","04/08/2003",17.8,31.3,37.8,0,12.3,31,8,15,0,1019,991
"181","05/08/2003",18.2,31.8,38.4,0,14.3,35,5,15,0,1019,991
"182","06/08/2003",18.6,30.7,38.8,0,15.9,41,3,9,0,1018,990
"183","07/08/2003",20,29.8,38.8,0.8,18.1,50,4,18,0,1016,988
"184","08/08/2003",18,30.2,37.2,0,11.8,32,9,17,0,1017,989
"185","09/08/2003",16,30.5,38.2,0,12.1,32,6,22,0,1016,988
"186","10/08/2003",17.2,31.9,38.4,0,13.4,33,6,17,0,1014,987
"187","11/08/2003",26.8,32.8,38.2,0,17.9,41,5,11,0,1016,988
"188","12/08/2003",19.4,30,37.8,0,17.4,47,2,8,0,1019,991
"189","13/08/2003",20,31.4,39,0,16.7,41,2,8,0,1018,991
"190","14/08/2003",18,30.3,37.8,0,13.8,37,10,26,0,1015,988
"191","15/08/2003",20,29.9,36,0,17.1,46,3,9,0,1012,984
"192","16/08/2003",18.2,30.3,37.2,0,13.6,36,3,13,0,1014,986
"193","17/08/2003",18.2,31.4,39,0,14.8,37,8,18,0,1016,989
"194","18/08/2003",19.2,29.6,35.4,0,13.5,37,6,13,0,1018,990
"195","19/08/2003",18.4,25.6,33.6,0,16.3,56,4,11,0,1017,988
"196","20/08/2003",14.8,28.7,36.4,0,12.6,37,3,8,0,1014,986
"197","21/08/2003",17.4,29.3,36.8,0,13.4,38,8,18,0,1014,986
"198","22/08/2003",17.8,29.8,34.8,0,16,43,7,18,0,1015,987
"199","23/08/2003",18,29.1,33.8,0,16.3,46,8,17,0,1016,988
"200","24/08/2003",17.2,27.6,35.2,0,15.2,47,5,13,0,1013,985
"201","25/08/2003",16.6,25.5,34.8,27.9,14.3,50,1,8,0,1009,981
"202","26/08/2003",17.8,22.3,30.8,4.1,15.6,66,0,0,0,1010,981
"203","27/08/2003",14.4,23.8,33,0,12.5,49,4,11,0,1011,982
"204","28/08/2003",20.2,26.8,34.2,0,16.6,54,5,13,0,1011,983
"205","29/08/2003",20.8,27.2,33.4,0,18.4,59,18,35,0,1008,980
"206","30/08/2003",20.4,27.8,34.4,0,12.7,39,13,22,0,1011,983
"207","31/08/2003",18,25.1,31.2,0,11.8,43,20,37,0,1011,983
"208","01/09/2003",13.8,19.1,23.8,0.8,14.2,73,0,0,0,1014,985
"209","02/09/2003",11.6,18.6,25.6,0,9.4,55,6,15,0,1016,987
"210","03/09/2003",16,20.6,26,0,5,36,10,18,0,1022,993
"211","04/09/2003",9.8,19.7,24.6,0,3.5,34,6,13,0,1026,997
"212","05/09/2003",8.8,22.1,28,0,5.9,35,9,15,0,1023,994
"213","06/09/2003",16.4,22.2,27.2,0,10,46,3,8,0,1018,989
"214","08/09/2003",16.6,21.1,25.8,9.9,13.6,62,3,8,0,1007,978
"215","09/09/2003",15.2,17.8,19.4,3.1,15.3,85,0,0,0,1005,976
"216","10/09/2003",12.2,19.1,23.8,0,9.8,55,5,11,0,1009,981
"217","11/09/2003",21.8,24.4,27.2,0,9.1,38,6,11,0,1012,983
"218","12/09/2003",11.8,20.3,26,0,4.7,36,3,5,0,1018,989
"219","13/09/2003",9.8,20.4,27.2,0,4.9,36,11,22,0,1021,992
"220","14/09/2003",13.8,17.3,20.4,1,8.8,57,11,18,0,1022,992
"221","15/09/2003",13.8,18,22.2,0,6.2,46,7,15,0,1023,994
"222","16/09/2003",9,18.7,25.8,0,5.9,43,6,11,0,1022,993
"223","17/09/2003",9.2,19.4,27.4,0,5.5,40,4,11,0,1022,993
"224","18/09/2003",5.8,21,29.2,0,4.9,35,7,18,0,1022,993
"225","19/09/2003",7.2,20.4,30.4,0,4.4,35,3,8,0,1022,994
"226","20/09/2003",9,21.8,29.8,0,6.7,38,2,8,0,1025,996
"227","21/09/2003",9.8,22.5,30,0,8.3,40,2,5,0,1023,994
"228","22/09/2003",10.8,20.4,29.4,0,8.7,47,2,8,0,1019,990
"229","23/09/2003",14,21.7,27.2,0,12.4,55,10,22,0,1016,988
"230","24/09/2003",16.8,20.6,25,16,13.1,62,2,9,0,1018,989
"231","25/09/2003",15,18.6,21.8,0,5.3,42,15,18,0,1025,996
"232","26/09/2003",6.2,14.6,22.8,0,6,56,2,8,0,1023,993
"233","27/09/2003",8,16.5,24,0,8.1,58,2,11,0,1020,991
"234","29/09/2003",14.2,17.1,20.8,18,13.3,78,2,8,0,1011,982
"235","30/09/2003",9.6,17.2,23.2,0,11.3,68,2,9,0,1015,986
"236","01/10/2003",11.6,19.2,24,0,13.1,68,1,5,0,1016,987
"237","02/10/2003",13.2,20.9,27.2,0,13.7,63,2,11,0,1016,988
"238","03/10/2003",16.4,22.8,27,0,14.9,61,6,17,0,1014,985
"239","04/10/2003",16.2,21,25.4,0,13.2,61,10,22,0,1009,980
"240","05/10/2003",13,17.1,19.6,24.1,8.3,56,26,34,0,1001,972
"241","06/10/2003",5.8,14.2,19,1,3.9,50,2,5,0,1016,987
"242","07/10/2003",8,15.9,20.6,0,6.3,53,11,22,0,1013,984
"243","08/10/2003",11.4,15.2,19.2,3.1,0.3,36,5,9,0,1008,979
"244","09/10/2003",5.6,15.4,21.4,0,6.6,56,4,11,0,1014,985
"245","10/10/2003",7.6,16.7,22.2,0,9.8,64,3,8,0,1021,992
"246","11/10/2003",10.8,16.1,21.6,0,10,67,3,9,0,1024,994
"247","12/10/2003",12.6,17.9,21.2,0,11.2,65,0,0,0,1022,993
"248","13/10/2003",11.2,17.6,23.2,0,6.7,49,1,5,0,1020,991
"249","14/10/2003",9,16.4,23,0,8.3,59,5,15,0,1019,989
"250","15/10/2003",11,13.3,15.8,0,3.1,50,20,22,0,1022,992
"251","16/10/2003",9.2,11.4,15.4,0,1.4,50,14,22,0,1022,992
"252","17/10/2003",8,9.9,12.8,0,0.3,51,17,21,0,1023,993
"253","18/10/2003",7.8,9.6,11.2,2,3.8,67,9,11,0,1016,986
"254","19/10/2003",8.8,13.3,17.4,20.1,7.4,67,0,0,0,1010,981
"255","20/10/2003",9.6,15.9,19.4,16,12.6,81,18,34,0,1003,974
"256","21/10/2003",11.6,14.9,20,8.1,11.6,81,9,21,0,1006,977
"257","22/10/2003",11.4,13.4,15.6,2.5,10.2,81,1,4,0,1009,980
"258","23/10/2003",9,11.6,15.4,4.8,7.9,78,9,21,0,1004,974
"259","24/10/2003",6,8.6,11.8,7.1,5.9,83,8,37,0,1009,980
"260","25/10/2003",2,8.1,12.4,0,0.8,60,2,5,0,1020,990
"261","26/10/2003",-0.4,6.7,11.6,0.5,3.2,78,2,9,0,1017,987
"262","27/10/2003",6.2,8.5,11.2,15,2.3,65,7,15,0,1015,985
"263","28/10/2003",1.4,8.9,12.4,0.5,1.7,61,3,8,0,1021,990
"264","29/10/2003",9,11.1,13,11.9,9.5,90,3,11,0,1008,978
"265","30/10/2003",7.8,10.1,13.6,14,5,71,16,26,0,999,970
"266","31/10/2003",7.8,14.4,16.4,5.1,9.8,74,21,28,0,1000,972
"267","01/11/2003",11.4,14.4,17.6,7.9,11.2,81,10,26,0,999,970
"268","02/11/2003",7,11.6,15,0,8.8,83,1,5,0,1012,982
"269","03/11/2003",5.8,9.7,15.4,0,6.3,79,1,8,0,1022,992
"270","04/11/2003",2.4,11.6,16.4,0,3.3,57,9,22,0,1026,996
"271","05/11/2003",7.8,12.7,18.2,0,1.7,47,12,24,0,1028,998
"272","06/11/2003",8.6,11.8,15.2,0,3,55,13,21,0,1026,996
"273","07/11/2003",7,8.6,10.6,5.1,3.7,71,10,17,0,1022,992
"274","08/11/2003",6.8,12.4,17.8,16,9.3,81,9,29,0,1022,992
"275","09/11/2003",6.8,12.5,18.4,0,8.4,76,0,0,0,1025,995
"276","10/11/2003",3.8,11.9,17.8,0,4.3,60,10,15,0,1020,990
"277","11/11/2003",4.4,9.7,14,0,1.7,57,9,15,0,1022,992
"278","12/11/2003",5.4,8.8,12,0,2.7,65,7,15,0,1024,994
"279","13/11/2003",4.8,8.4,12.2,0,3.7,72,1,5,0,1026,995
"280","14/11/2003",0.2,6.7,13.2,0,3.6,81,2,8,0,1026,995
"281","15/11/2003",6.6,8.9,10.4,9.7,7.7,92,0,0,0,1023,993
"282","16/11/2003",9.8,13.9,16.2,6.1,9.2,73,2,11,0,1020,990
"283","17/11/2003",10.6,13.7,18,0.5,11,84,3,9,0,1022,992
"284","18/11/2003",10.8,13.6,16,0,12.2,91,2,9,0,1026,996
"285","19/11/2003",7.6,11.1,12.4,0,10.3,95,1,4,0,1027,997
"286","20/11/2003",7.4,9.3,11.8,0,8.7,96,0,0,0,1024,994
"287","21/11/2003",8,10.5,12.8,0,9.1,91,0,0,0,1021,991
"288","23/11/2003",5.8,13.2,17.8,0,9.8,80,0,0,0,1019,989
"289","24/11/2003",8.2,12.1,17.2,2,9.2,82,3,13,0,1015,985
"290","25/11/2003",11,12.5,16.2,3.1,10.8,89,0,0,0,1014,984
"291","26/11/2003",10.6,12.9,16,38.1,10.8,87,12,21,0,1006,976
"292","27/11/2003",9.8,12.1,14.8,5.6,10.1,88,21,42,0,1003,974
"293","28/11/2003",6.8,7.8,11.2,26.7,6,88,6,22,0,1002,972
"294","29/11/2003",4,6.5,9.4,1,5.7,95,0,0,0,1012,982
"295","30/11/2003",4,5.7,7.6,0,4.7,93,0,0,0,1018,988
"296","01/12/2003",4.6,6.9,9.2,0.5,5.9,93,0,0,0,1019,989
"297","02/12/2003",7,8.9,12.6,0,7.4,90,0,0,0,1022,992
"298","03/12/2003",3.6,10,16.8,0,4.8,70,6,15,0,1022,992
"299","04/12/2003",5.8,10.3,13.6,0,7.3,82,1,5,0,1024,993
"300","05/12/2003",8,11.4,16.6,1,9.6,89,0,0,0,1025,995
"301","06/12/2003",5.6,9.8,14.4,0,8.3,90,3,15,0,1018,988
"302","07/12/2003",4,6.7,10,0,-0.5,60,16,34,0,1018,988
"303","08/12/2003",1.8,4.1,7,0,-5.8,48,18,34,0,1022,992
"304","09/12/2003",3.4,5,7,10,-4.3,51,9,22,0,1018,988
"305","10/12/2003",4.8,6,8.4,2,2.8,80,4,9,0,1018,988
"306","11/12/2003",4.4,7.8,11.2,0,5.2,84,0,0,0,1020,990
"307","12/12/2003",6,9.8,15.2,0,5.7,76,4,15,0,1020,990
"308","13/12/2003",1.8,8.3,15,0,1.8,64,3,11,0,1023,993
"309","14/12/2003",0.2,5,10,0,2.5,84,2,9,0,1014,983
"310","15/12/2003",-0.4,4.4,10.8,0,-0.1,72,0,2,0,1010,980
"311","16/12/2003",-4.6,1.3,8.6,0,-10.6,41,6,18,0,1020,989
"312","17/12/2003",-6.2,0.9,6.2,0,-4.1,69,0,4,0,1029,998
"313","18/12/2003",-1.4,2.3,6.6,0,-2.1,73,0,0,0,1030,999
"314","19/12/2003",-3.4,1,6.4,0,-1,86,0,0,0,1028,997
"315","20/12/2003",-2.8,2.4,10,0,-0.7,80,0,0,0,1027,996
"316","21/12/2003",-1,6.8,11.2,0.8,4.7,86,11,31,0,1019,988
"317","22/12/2003",4,7.2,11.2,2.5,2.3,71,4,15,0,1007,977
"318","23/12/2003",2.4,3.9,6.2,0,-4.9,53,19,35,0,1014,983
"319","24/12/2003",2,2.7,4.6,0,-8.7,43,26,37,0,1022,991
"320","25/12/2003",-1.2,3,8,0,-9.3,40,6,18,0,1025,994
"321","26/12/2003",-4.6,1.3,10.6,0,-8.2,49,0,0,0,1024,992
"322","27/12/2003",-5,1.2,7.4,0,-2.2,78,0,0,0,1022,991
"323","28/12/2003",2.6,7.4,10.2,2.8,5.1,85,8,24,0,1013,983
"324","29/12/2003",7,9.8,12.4,9.9,6,77,14,28,0,1008,978
"325","30/12/2003",6.2,8.3,10.8,7.1,7.6,95,0,0,0,1007,978
"326","31/12/2003",0.4,5,10.2,3.1,3.3,89,0,4,0,1009,978
"327","01/01/2004",1.2,7.1,12.2,0,2.3,71,3,9,0,1010,980
"328","02/01/2004",-1.4,3.9,8.8,0,0.5,78,8,22,0,1005,974
"329","03/01/2004",3.2,4.5,7,0,-2.8,59,18,34,0,1010,980
"330","04/01/2004",-3.8,1.7,5.4,0,-5.9,57,2,15,0,1013,983
"331","05/01/2004",-7,-1.1,5.4,0,-5.2,74,1,8,0,1019,988
"332","06/01/2004",-4,1.1,7.6,0,-1.4,83,0,0,0,1023,992
"333","07/01/2004",-1.4,2.8,5.4,0.5,1.7,92,0,0,0,1023,992
"334","08/01/2004",3.8,6.3,8.6,0.5,5.1,92,0,0,0,1019,989
"335","09/01/2004",5.6,7,8.8,2.8,6.5,97,1,8,0,1012,982
"336","10/01/2004",1,5.6,11.8,0,1.6,75,0,2,0,1013,982
"337","11/01/2004",-3,2.4,9.4,0,-2.5,70,1,8,0,1022,991
"338","12/01/2004",3.2,8.3,13.4,1,5.4,82,5,18,0,1016,986
